gvkey,fyear,datadate,at,emp,revt,nicon,conm,gind,gsector
005180,2020,2020-12-31,80431.0000,94.0660,34099.0000,5749.00000,GSK PLC,352020,35
005180,2021,2021-12-31,79103.0000,90.0960,34114.0000,4385.00000,GSK PLC,352020,35
005180,2022,2022-12-31,60146.0000,69.4000,29324.0000,4461.00000,GSK PLC,352020,35
005180,2023,2023-12-31,59005.0000,,30328.0000,4928.00000,GSK PLC,352020,35
005650,2014,2015-03-31,12433727.0000,336.6700,9774930.0000,217489.86700,HITACHI LTD,201050,20
005650,2015,2016-03-31,12551005.0000,335.2440,10034305.0000,172131.25800,HITACHI LTD,201050,20
005650,2016,2017-03-31,9663917.0000,303.8870,9162264.0000,231267.31500,HITACHI LTD,201050,20
005650,2017,2018-03-31,10106603.0000,307.2750,9368614.0000,363007.87000,HITACHI LTD,201050,20
005650,2018,2019-03-31,9626592.0000,295.9410,9480619.0000,222548.85900,HITACHI LTD,201050,20
005650,2019,2020-03-31,9930081.0000,301.0560,8767263.0000,87599.45600,HITACHI LTD,201050,20
005650,2020,2021-03-31,11852853.0000,350.8640,8729196.0000,501616.13600,HITACHI LTD,201050,20
005650,2021,2022-03-31,13887502.0000,368.2470,10264602.0000,583472.00300,HITACHI LTD,201050,20
005650,2022,2023-03-31,12501414.0000,322.5250,10881150.0000,649123.15900,HITACHI LTD,201050,20
005650,2023,2024-03-31,12221284.0000,268.6550,9728716.0000,589899.63600,HITACHI LTD,201050,20
005691,2014,2015-03-31,18425837.0000,204.7300,13328099.0000,509435.09900,HONDA MOTOR CO LTD,251020,25
005691,2015,2016-03-31,18229294.0000,208.3990,14601151.0000,344524.82700,HONDA MOTOR CO LTD,251020,25
005691,2016,2017-03-31,18958123.0000,211.9150,13999200.0000,616560.70400,HONDA MOTOR CO LTD,251020,25
005691,2017,2018-03-31,19349164.0000,215.6380,15361146.0000,1059339.03300,HONDA MOTOR CO LTD,251020,25
005691,2018,2019-03-31,20419122.0000,219.7220,15888617.0000,610320.55500,HONDA MOTOR CO LTD,251020,25
005691,2019,2020-03-31,20461465.0000,218.6740,14931009.0000,455749.37600,HONDA MOTOR CO LTD,251020,25
005691,2020,2021-03-31,21921030.0000,211.3740,13170519.0000,657417.45200,HONDA MOTOR CO LTD,251020,25
005691,2021,2022-03-31,23973153.0000,204.0350,14552696.0000,707059.11100,HONDA MOTOR CO LTD,251020,25
005691,2022,2023-03-31,24670067.0000,197.0390,16907725.0000,651415.85800,HONDA MOTOR CO LTD,251020,25
005691,2023,2024-03-31,29774150.0000,194.9930,20428802.0000,1107164.44800,HONDA MOTOR CO LTD,251020,25
007114,2014,2015-03-31,5956947.0000,254.0840,7715037.0000,179485.83000,PANASONIC HOLDINGS CORP,252010,25
007114,2015,2016-03-31,5596982.0000,249.5200,7553717.0000,193253.12200,PANASONIC HOLDINGS CORP,252010,25
007114,2016,2017-03-31,5982961.0000,257.5330,7343707.0000,149365.02400,PANASONIC HOLDINGS CORP,252010,25
007114,2017,2018-03-31,6291148.0000,274.1430,7982164.0000,236035.46600,PANASONIC HOLDINGS CORP,252010,25
007114,2018,2019-03-31,6013931.0000,271.8690,8002733.0000,284152.03300,PANASONIC HOLDINGS CORP,252010,25
007114,2019,2020-03-31,6218518.0000,259.3850,7490601.0000,225704.44400,PANASONIC HOLDINGS CORP,252010,25
007114,2020,2021-03-31,6847073.0000,243.5400,6698794.0000,165068.78600,PANASONIC HOLDINGS CORP,252010,25
007114,2021,2022-03-31,8023583.0000,240.1980,7388791.0000,255312.45700,PANASONIC HOLDINGS CORP,252010,25
007114,2022,2023-03-31,8059527.0000,233.3910,8378942.0000,265486.52400,PANASONIC HOLDINGS CORP,252010,25
007114,2023,2024-03-31,9411195.0000,228.4200,8496420.0000,443983.22500,PANASONIC HOLDINGS CORP,252010,25
007471,2014,2015-03-31,12202921.0000,47.1180,10827831.0000,306484.38600,MITSUI & CO LTD,201070,20
007471,2015,2016-03-31,10910511.0000,43.6110,9616821.0000,-83405.67600,MITSUI & CO LTD,201070,20
007471,2016,2017-03-31,11501013.0000,42.3160,4363969.0000,306134.01900,MITSUI & CO LTD,201070,20
007471,2017,2018-03-31,11306660.0000,42.3040,4892149.0000,418472.22400,MITSUI & CO LTD,201070,20
007471,2018,2019-03-31,11945779.0000,43.9930,6957524.0000,414213.25000,MITSUI & CO LTD,201070,20
007471,2019,2020-03-31,11806292.0000,45.6240,6885033.0000,391517.86400,MITSUI & CO LTD,201070,20
007471,2020,2021-03-31,12515845.0000,44.5090,8010235.0000,335455.59700,MITSUI & CO LTD,201070,20
007471,2021,2022-03-31,14923290.0000,44.3360,11757559.0000,914718.91800,MITSUI & CO LTD,201070,20
007471,2022,2023-03-31,15380916.0000,46.8110,14306402.0000,1130635.02800,MITSUI & CO LTD,201070,20
007471,2023,2024-03-31,16899502.0000,53.6020,13324942.0000,1063677.88800,MITSUI & CO LTD,201070,20
007652,2014,2015-03-31,2620652.0000,98.8820,2935517.0000,57299.15200,NEC CORP,451020,45
007652,2015,2016-03-31,2493441.0000,98.7260,2821181.0000,68736.59400,NEC CORP,451020,45
007652,2016,2017-03-31,2683996.0000,107.7290,2665035.0000,27311.64300,NEC CORP,451020,45
007652,2017,2018-03-31,2821351.0000,109.3900,2844447.0000,45869.32900,NEC CORP,451020,45
007652,2018,2019-03-31,2950639.0000,110.5950,2913446.0000,40194.45600,NEC CORP,451020,45
007652,2019,2020-03-31,3123254.0000,112.6380,3095234.0000,99968.13300,NEC CORP,451020,45
007652,2020,2021-03-31,3668564.0000,114.7140,2994023.0000,149605.05900,NEC CORP,451020,45
007652,2021,2022-03-31,3761733.0000,117.4180,3014095.0000,141276.22300,NEC CORP,451020,45
007652,2022,2023-03-31,3984050.0000,118.5270,3313018.0000,114499.68600,NEC CORP,451020,45
007652,2023,2024-03-31,4227514.0000,105.2760,3477262.0000,149519.80600,NEC CORP,451020,45
007908,2014,2015-03-31,20702427.0000,241.5930,11095317.0000,518065.28300,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2015,2016-03-31,21035931.0000,241.4480,11540997.0000,737739.95600,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2016,2017-03-31,21250325.0000,274.8440,11391016.0000,800128.35400,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2017,2018-03-31,21675770.0000,282.5330,11799587.0000,909697.11600,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2018,2019-03-31,22295146.0000,303.3510,11879842.0000,854555.50800,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2019,2020-03-31,23014133.0000,319.0390,11899415.0000,855310.24600,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2020,2021-03-31,22965492.0000,324.6670,11943966.0000,916168.13000,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2021,2022-03-31,23862241.0000,333.8400,12156447.0000,1181093.65000,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2022,2023-03-31,25308851.0000,338.6510,13136194.0000,1213122.95200,NIPPON TELEGRAPH AND TELEPHO,501010,50
007908,2023,2024-03-31,29604223.0000,338.4670,13374569.0000,1279619.84100,NIPPON TELEGRAPH AND TELEPHO,501010,50
009818,2014,2015-03-31,15834331.0000,131.7000,8215880.0000,-125974.48900,SONY GROUP CORPORATION,252010,25
009818,2015,2016-03-31,16673390.0000,125.3000,8105712.0000,147793.55900,SONY GROUP CORPORATION,252010,25
009818,2016,2017-03-31,17660556.0000,128.4000,7603250.0000,73285.67600,SONY GROUP CORPORATION,252010,25
009818,2017,2018-03-31,19065538.0000,117.3000,8543982.0000,490795.70600,SONY GROUP CORPORATION,252010,25
009818,2018,2019-03-31,20981586.0000,114.4000,8665687.0000,916265.31900,SONY GROUP CORPORATION,252010,25
009818,2019,2020-03-31,23039343.0000,111.7000,8259885.0000,582196.18900,SONY GROUP CORPORATION,252010,25
009818,2020,2021-03-31,26354840.0000,109.7000,8999360.0000,1171773.79900,SONY GROUP CORPORATION,252010,25
009818,2021,2022-03-31,30480967.0000,108.9000,9921513.0000,882182.60000,SONY GROUP CORPORATION,252010,25
009818,2022,2023-03-31,32041222.0000,113.0000,11539837.0000,937130.92400,SONY GROUP CORPORATION,252010,25
009818,2023,2024-03-31,34107490.0000,113.0000,13020768.0000,970575.75600,SONY GROUP CORPORATION,252010,25
010137,2014,2015-03-31,183442585.0000,85.0730,4781563.0000,753605.26400,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2015,2016-03-31,186585842.0000,89.9810,4766982.0000,646685.17200,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2016,2017-03-31,197791611.0000,93.1700,5091833.0000,706523.19600,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2017,2018-03-31,199049128.0000,88.1090,5708869.0000,734374.83600,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2018,2019-03-31,203659146.0000,99.7960,5720283.0000,726681.60000,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2019,2020-03-31,219863518.0000,98.3660,5225518.0000,703881.65100,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2020,2021-03-31,242584308.0000,98.1050,3818686.0000,512815.91700,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2021,2022-03-31,257704625.0000,111.6580,3977016.0000,706628.63100,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2022,2023-03-31,270428564.0000,115.7480,6049071.0000,805842.09400,SUMITOMO MITSUI FINANCIAL GR,401010,40
010137,2023,2024-03-31,295236701.0000,130.0200,8966428.0000,962945.06400,SUMITOMO MITSUI FINANCIAL GR,401010,40
010622,2014,2015-03-31,6334778.0000,198.7410,6655894.0000,-37812.85300,TOSHIBA CORP,201050,20
010622,2015,2016-03-31,5433341.0000,187.8090,5668688.0000,-459993.05900,TOSHIBA CORP,201050,20
010622,2016,2017-03-31,4269513.0000,153.4920,4870773.0000,-965678.40400,TOSHIBA CORP,201050,20
010622,2017,2018-03-31,4458211.0000,141.2560,3947596.0000,804022.27100,TOSHIBA CORP,201050,20
010622,2018,2019-03-31,4297344.0000,128.6970,3693539.0000,1013254.59300,TOSHIBA CORP,201050,20
010622,2019,2020-03-31,3383433.0000,125.6480,3389871.0000,-114630.94800,TOSHIBA CORP,201050,20
010622,2020,2021-03-31,3500636.0000,117.3000,3054375.0000,113980.81900,TOSHIBA CORP,201050,20
010622,2021,2022-03-31,3734519.0000,116.2240,3336967.0000,194653.18100,TOSHIBA CORP,201050,20
010622,2022,2023-03-31,3539268.0000,106.6480,3361657.0000,126571.98800,TOSHIBA CORP,201050,20
010845,2015,2015-12-31,52298.0000,168.9210,53272.0000,4909.00000,UNILEVER PLC,302020,30
010845,2016,2016-12-31,56429.0000,168.8320,52713.0000,5184.00000,UNILEVER PLC,302020,30
010845,2017,2017-12-31,60285.0000,160.5660,53715.0000,6053.00000,UNILEVER PLC,302020,30
010845,2018,2018-12-31,59456.0000,154.8480,50982.0000,9389.00000,UNILEVER PLC,302020,30
011217,2015,2015-12-31,374165.0000,88.4640,312515.0000,15058.00000,VOLVO AB,201060,20
011217,2016,2016-12-31,398916.0000,84.0390,301914.0000,13147.00000,VOLVO AB,201060,20
011217,2017,2017-12-31,412494.0000,87.1040,334748.0000,20981.00000,VOLVO AB,201060,20
011217,2018,2018-12-31,474663.0000,92.1290,390834.0000,24897.00000,VOLVO AB,201060,20
011217,2019,2019-12-31,524837.0000,92.5750,431980.0000,35861.00000,VOLVO AB,201060,20
011217,2020,2020-12-31,510821.0000,87.4920,338446.0000,19318.00000,VOLVO AB,201060,20
011217,2021,2021-12-31,515856.0000,84.9530,372216.0000,32787.00000,VOLVO AB,201060,20
011217,2022,2022-12-31,629064.0000,86.9900,473479.0000,32722.00000,VOLVO AB,201060,20
011217,2023,2023-12-31,674068.0000,89.7150,552764.0000,49825.00000,VOLVO AB,201060,20
012384,2015,2015-12-31,340157.0000,90.0000,264960.0000,1939.00000,SHELL PLC,101020,10
012384,2016,2016-12-31,411275.0000,89.0000,233591.0000,4575.00000,SHELL PLC,101020,10
012384,2017,2017-12-31,407097.0000,84.0000,305179.0000,12977.00000,SHELL PLC,101020,10
012384,2018,2018-12-31,399194.0000,81.0000,388379.0000,23352.00000,SHELL PLC,101020,10
012384,2019,2019-12-31,404336.0000,83.0000,344877.0000,15842.00000,SHELL PLC,101020,10
012384,2020,2020-12-31,379268.0000,87.0000,180543.0000,-21680.00000,SHELL PLC,101020,10
012384,2021,2021-12-31,404379.0000,82.0000,261504.0000,20101.00000,SHELL PLC,101020,10
012384,2022,2022-12-31,443024.0000,91.1400,381314.0000,,SHELL PLC,101020,10
012384,2023,2023-12-31,406270.0000,103.0000,316620.0000,,SHELL PLC,101020,10
012673,2015,2015-12-31,1120012.0000,129.4000,26239.0000,-324.00000,BARCLAYS PLC,401010,40
012673,2016,2016-12-31,1213126.0000,119.3000,25945.0000,1562.00000,BARCLAYS PLC,401010,40
012673,2017,2017-12-31,1133248.0000,79.9000,25119.0000,587.00000,BARCLAYS PLC,401010,40
012673,2018,2018-12-31,1133283.0000,83.5000,26684.0000,1597.00000,BARCLAYS PLC,401010,40
012673,2019,2019-12-31,1140229.0000,80.8000,27752.0000,2461.00000,BARCLAYS PLC,401010,40
012673,2020,2020-12-31,1349514.0000,83.0000,25674.0000,1526.00000,BARCLAYS PLC,401010,40
012673,2021,2021-12-31,1384285.0000,81.6000,25367.0000,6375.00000,BARCLAYS PLC,401010,40
012673,2022,2022-12-31,1513699.0000,87.4000,33486.0000,5023.00000,BARCLAYS PLC,401010,40
012673,2023,2023-12-31,1477487.0000,92.4000,47735.0000,4274.00000,BARCLAYS PLC,401010,40
013312,2015,2015-06-30,124580.0000,29.6700,44636.0000,3422.00000,BHP GROUP LTD,151040,15
013312,2016,2016-06-30,118953.0000,26.8270,30912.0000,-6385.00000,BHP GROUP LTD,151040,15
013312,2017,2017-06-30,117006.0000,26.1460,38285.0000,5890.00000,BHP GROUP LTD,151040,15
013312,2018,2018-06-30,111993.0000,27.1610,43638.0000,6626.00000,BHP GROUP LTD,151040,15
013312,2019,2019-06-30,100861.0000,28.9260,44288.0000,8641.00000,BHP GROUP LTD,151040,15
013312,2020,2020-06-30,104783.0000,31.5890,42931.0000,7956.00000,BHP GROUP LTD,151040,15
013312,2021,2021-06-30,108927.0000,40.1100,60817.0000,11304.00000,BHP GROUP LTD,151040,15
013312,2022,2022-06-30,95166.0000,45.2950,65098.0000,20245.00000,BHP GROUP LTD,151040,15
013312,2023,2023-06-30,101296.0000,49.0890,53817.0000,12921.00000,BHP GROUP LTD,151040,15
013683,2015,2015-12-31,122974.0000,129.8900,47219.0000,-85.00000,TELEFONICA SA,501010,50
013683,2016,2016-12-31,123641.0000,127.3230,52036.0000,2113.00000,TELEFONICA SA,501010,50
013683,2017,2017-12-31,115066.0000,122.7180,52008.0000,2856.00000,TELEFONICA SA,501010,50
013683,2018,2018-12-31,114047.0000,120.1380,48693.0000,2929.00000,TELEFONICA SA,501010,50
013683,2019,2019-12-31,118877.0000,113.8190,48422.0000,860.00000,TELEFONICA SA,501010,50
013683,2020,2020-12-31,105051.0000,112.7970,43076.0000,1331.00000,TELEFONICA SA,501010,50
013683,2021,2021-12-31,109213.0000,104.1500,39277.0000,7884.00000,TELEFONICA SA,501010,50
013683,2022,2022-12-31,109642.0000,103.6510,39993.0000,1802.00000,TELEFONICA SA,501010,50
013683,2023,2023-12-31,104324.0000,,40652.0000,-1146.00000,TELEFONICA SA,501010,50
014140,2015,2015-12-31,1340260.0000,193.8630,67064.0000,5690.00000,BANCO SANTANDER SA,401010,40
014140,2016,2016-12-31,1339125.0000,188.4920,69729.0000,5870.00000,BANCO SANTANDER SA,401010,40
014140,2017,2017-12-31,1444305.0000,202.2510,70283.0000,6224.00000,BANCO SANTANDER SA,401010,40
014140,2018,2018-12-31,1459271.0000,202.7130,68974.0000,7250.00000,BANCO SANTANDER SA,401010,40
014140,2019,2019-12-31,1522695.0000,196.4190,72710.0000,5920.00000,BANCO SANTANDER SA,401010,40
014140,2020,2020-12-31,1508250.0000,193.5160,60062.0000,-9323.00000,BANCO SANTANDER SA,401010,40
014140,2021,2021-12-31,1595835.0000,191.7000,60050.0000,7558.00000,BANCO SANTANDER SA,401010,40
014140,2022,2022-12-31,1734659.0000,201.5160,85482.0000,9076.00000,BANCO SANTANDER SA,401010,40
014140,2023,2023-12-31,1797062.0000,211.5150,119622.0000,10584.00000,BANCO SANTANDER SA,401010,40
014894,2014,2015-03-31,122573.0000,105.9700,42227.0000,5704.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2015,2016-03-31,133713.0000,111.6840,40973.0000,-4024.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2016,2017-03-31,154684.0000,98.3690,47631.0000,-2190.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2017,2018-03-31,145611.0000,95.0490,46571.0000,4408.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2018,2019-03-31,142862.0000,94.4420,43666.0000,-4485.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2019,2020-03-31,168168.0000,104.0000,44974.0000,-920.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2020,2021-03-31,155063.0000,105.0000,43809.0000,112.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2021,2022-03-31,153953.0000,104.0000,45580.0000,2088.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2022,2023-03-31,155521.0000,104.0000,45706.0000,11838.00000,VODAFONE GROUP PUBLIC LTD,501020,50
014894,2023,2024-03-31,144350.0000,93.0000,36717.0000,1205.00000,VODAFONE GROUP PUBLIC LTD,501020,50
015181,2015,2015-12-31,750078.0000,137.9680,29531.0000,2430.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2016,2016-12-31,731856.0000,134.7920,34666.0000,3215.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2017,2017-12-31,690059.0000,131.8560,34726.0000,3218.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2018,2018-12-31,676689.0000,125.6270,36889.0000,5011.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2019,2019-12-31,698690.0000,126.9730,37098.0000,3093.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2020,2020-12-31,736176.0000,123.1740,28087.0000,2647.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2021,2021-12-31,662885.0000,110.4320,28888.0000,4014.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2022,2022-12-31,713140.0000,121.5240,35742.0000,6420.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015181,2023,2023-12-31,775558.0000,121.4860,55969.0000,7674.00000,BANCO BILBAO VIZCAYA ARGENTA,401010,40
015319,2015,2015-12-31,63077.0000,27.1110,33532.0000,-1249.00000,REPSOL SA,101020,10
015319,2016,2016-12-31,64849.0000,24.5350,28440.0000,1409.00000,REPSOL SA,101020,10
015319,2017,2017-12-31,59857.0000,22.3250,35358.0000,2092.00000,REPSOL SA,101020,10
015319,2018,2018-12-31,60778.0000,24.5060,43578.0000,1900.00000,REPSOL SA,101020,10
015319,2019,2019-12-31,57895.0000,22.7050,42478.0000,-3845.00000,REPSOL SA,101020,10
015319,2020,2020-12-31,49302.0000,23.3290,28249.0000,-3343.00000,REPSOL SA,101020,10
015319,2021,2021-12-31,56254.0000,23.2680,44529.0000,2439.00000,REPSOL SA,101020,10
015319,2022,2022-12-31,59964.0000,23.7700,69291.0000,4191.00000,REPSOL SA,101020,10
015319,2023,2023-12-31,61633.0000,24.5370,53118.0000,3108.00000,REPSOL SA,101020,10
015444,2015,2015-12-31,32007.0000,88.6500,23635.0000,,CRH PLC,151020,15
015444,2016,2016-12-31,31594.0000,87.0000,27104.0000,,CRH PLC,151020,15
015444,2017,2017-12-31,31633.0000,85.0000,25220.0000,,CRH PLC,151020,15
015444,2018,2018-12-31,35173.0000,90.0000,26790.0000,,CRH PLC,151020,15
015444,2019,2019-12-31,37310.0000,80.3000,25129.0000,,CRH PLC,151020,15
015444,2020,2020-12-31,44944.0000,77.1000,27587.0000,,CRH PLC,151020,15
015444,2021,2021-12-31,44670.0000,77.4000,30981.0000,,CRH PLC,151020,15
015444,2022,2022-12-31,45188.0000,75.8000,32723.0000,,CRH PLC,151020,15
015444,2023,2023-12-31,47469.0000,78.5000,34949.0000,,CRH PLC,151020,15
015508,2015,2015-12-31,52013.0000,128.0000,20455.0000,-5624.00000,ANGLO AMERICAN PLC,151040,15
015508,2016,2016-12-31,50149.0000,95.0000,21378.0000,1594.00000,ANGLO AMERICAN PLC,151040,15
015508,2017,2017-12-31,54561.0000,69.0000,26243.0000,3166.00000,ANGLO AMERICAN PLC,151040,15
015508,2018,2018-12-31,52196.0000,64.0000,27610.0000,3549.00000,ANGLO AMERICAN PLC,151040,15
015508,2019,2019-12-31,56152.0000,60.0000,29870.0000,3547.00000,ANGLO AMERICAN PLC,151040,15
015508,2020,2020-12-31,62534.0000,95.0000,30902.0000,2089.00000,ANGLO AMERICAN PLC,151040,15
015508,2021,2021-12-31,65985.0000,106.0000,41554.0000,8562.00000,ANGLO AMERICAN PLC,151040,15
015508,2022,2022-12-31,67407.0000,105.0000,35118.0000,4514.00000,ANGLO AMERICAN PLC,151040,15
015508,2023,2023-12-31,66544.0000,,30652.0000,283.00000,ANGLO AMERICAN PLC,151040,15
015509,2015,2015-12-31,2409656.0000,255.2030,76953.0000,12572.00000,HSBC HLDGS PLC,401010,40
015509,2016,2016-12-31,2374986.0000,235.1750,62917.0000,1299.00000,HSBC HLDGS PLC,401010,40
015509,2017,2017-12-31,2521771.0000,228.6870,66591.0000,9683.00000,HSBC HLDGS PLC,401010,40
015509,2018,2018-12-31,2558124.0000,235.2170,75554.0000,12608.00000,HSBC HLDGS PLC,401010,40
015509,2019,2019-12-31,2715152.0000,235.3510,82685.0000,5969.00000,HSBC HLDGS PLC,401010,40
015509,2020,2020-12-31,2984164.0000,226.0590,66204.0000,3898.00000,HSBC HLDGS PLC,401010,40
015509,2021,2021-12-31,2957939.0000,219.6970,62297.0000,12607.00000,HSBC HLDGS PLC,401010,40
015509,2022,2022-12-31,2966530.0000,219.1990,79277.0000,14822.00000,HSBC HLDGS PLC,401010,40
015509,2023,2023-12-31,3038677.0000,220.8610,127679.0000,22432.00000,HSBC HLDGS PLC,401010,40
015532,2015,2015-12-31,1994193.0000,189.0770,63351.0000,6385.00000,BNP PARIBAS,401010,40
015532,2016,2016-12-31,2076959.0000,192.0920,62550.0000,7470.00000,BNP PARIBAS,401010,40
015532,2017,2017-12-31,1960252.0000,196.1280,63373.0000,7537.00000,BNP PARIBAS,401010,40
015532,2018,2018-12-31,2040836.0000,202.6240,58163.0000,7159.00000,BNP PARIBAS,401010,40
015532,2019,2019-12-31,2164713.0000,198.8160,62952.0000,7745.00000,BNP PARIBAS,401010,40
015532,2020,2020-12-31,2488491.0000,193.3190,58005.0000,6626.00000,BNP PARIBAS,401010,40
015532,2021,2021-12-31,2634444.0000,190.0000,55370.0000,8332.00000,BNP PARIBAS,401010,40
015532,2022,2022-12-31,2666376.0000,190.0000,68328.0000,8935.00000,BNP PARIBAS,401010,40
015532,2023,2023-12-31,2591499.0000,183.0000,106722.0000,7351.00000,BNP PARIBAS,401010,40
015545,2015,2015-12-31,387874.0000,29.6390,21165.0000,844.00000,AVIVA PLC,403010,40
015545,2016,2016-12-31,440419.0000,29.5300,40367.0000,618.00000,AVIVA PLC,403010,40
015545,2017,2017-12-31,442685.0000,30.0210,35182.0000,1415.00000,AVIVA PLC,403010,40
015545,2018,2018-12-31,430478.0000,31.7030,22475.0000,1515.00000,AVIVA PLC,403010,40
015545,2019,2019-12-31,460043.0000,31.1810,46482.0000,2497.00000,AVIVA PLC,403010,40
015545,2020,2020-12-31,479857.0000,28.5960,39998.0000,1886.00000,AVIVA PLC,403010,40
015545,2021,2021-12-31,358474.0000,22.0620,16808.0000,249.00000,AVIVA PLC,403010,40
015545,2022,2022-12-31,315316.0000,24.3640,-4964.0000,-1194.00000,AVIVA PLC,403010,40
015545,2023,2023-12-31,328843.0000,26.3820,21501.0000,1034.00000,AVIVA PLC,403010,40
015549,2015,2015-12-31,860433.3750,125.5100,30625.2590,1889.25700,UNICREDIT SPA,401010,40
